,Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
75,SISTEM PENCARIAN TEKS AL-QURAN TERJEMAHAN BERBAHASA INDONESIA DENGAN METODE DICE SIMILARITY DAN NAZIEF DAN ADRIANI, Nadila Hidayanti," Achmad Jauhari, S.T., M.Kom","Ika Oktavia Suzanti, S.Kom., M.Cs","Information Retrieval (IR) merupakan pengambilan informasi yang tersimpan didalam dokumen yang berisikan konteks dari dokumen tersebut. Adanya IR memiliki pengaruh yang pesat dalam kemajuan teknologi seperti perpustakaan digital, buku-buku yang diubah menjadi digital. Salah satunya aplikasi Al-qurâan dan tafsir dalam berbagai bahasa yang bertujuan untuk memudahkan publik untuk memahami dari setiap ayat dalam bahasa Indonesia. Akan tetapi, masih terdapat kendala dalam melakukan pencarian dengan topik yang diinginkan misalnya hasil pencarian yang muncul kurang sesuai dengan yang diinginkan. Penelitian ini menggunakan metode dengan tahapan preprocessing, stemming Nazief dan Adriani, pembobotan TF-IDF dan perhitungan Dice Similarity. Proses perhitungan tanpa stemming dengan metode dice similarity didapatkan nilai recall 77,20%, precision 76,77% dan f-measure 68,28%, sedangkan pada proses menggunakan stemming nazief dan adriani didapat nilai recall 89,76%, precision 78,37%, dan f-measure 73,35%. Dari hasil pengujian penggunaan stemming sangat berpengaruh dalam mendapatkan hasil yang relevan."
76,SUPPORTIVENESS SINGLE FATHER DALAM MEMBANGUN HUBUNGAN BAIK DENGAN IBU BIOLOGIS, RINDA DWI PRADINA," Dr.Yuliana Rakhmawati, S.Sos.,M.Si.",-,"ABSTRAK
Rinda Dwi Pradina 160531100026, Program Studi Ilmu Komunikasi, Fakultas
Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura. Supportiveness
Single Father Dalam Membangun Hubungan Baik Dengan Ibu Biologis. Dengan
bimbingan Ibu Dr. Yuliana Rakhmawati, S.Sos.,M.Si.
Tujuan dari penelitian ini adalah untuk mengetahui supportiveness dan faktor-faktor yang menghambat single father dalam membangun hubungan baik dengan ibu biologis. Subjek dari penelitian ini adalah seorang single father (bercerai hidup) yang memiliki anak perempuan usia 18-21 tahun.
Metode pengumpulan data menggunakan Obeservasi, wawancara dan dokumentasi. Analisis data menggunakan reduksi data. Metode keabsahan data menggunakan triangulasi dan menggunakan bahan refrensi. Pokok masalah penelitian ini adalah bagaimana supportiveness single father dalam membangun
hubungan baik dengan ibu biologis. Kemudian terdapat rumusan masalah yaitu: Bagaimana supportiveness single father dalam membangun hubungan baik dengan ibu biologis dan Apa saja faktor-faktor yang menghambat. Jenis penelitian ini adalah penelitian kualitatif dengan memberikan gambaran secara sistematis mengenai kondisi sesungguhnya dari obyek yang
diteliti yakni supportiveness dalam membangun hubungan baik dengan ibu biologis. Dasar penelitian yang digunakan adalah studi kasus. Adapun sumber data penelitian ini adalah single father. Selanjutnya metode pengumpulan data yang digunakan adalah observasi (pengamatan), wawancara, dan dokumentasi.
Kemudian, teknik analisis data dilakukan dengan melalui tiga tahapan, yaitu:
reduksi data
Hasil penelitian menunjukkan bahwa Supportiveness single father dalam membangun hubungan baik dengan ibu biologis belum sepenuhnya berjalan secara efektif. 
Supportiveness atau sikap saling mendukung ditandai dengan tiga sikap. Yang pertama, Sikap deskriptif ialah mempersepsikan komunikasi sebagai permintaan atas sebuah informasi mengenai suatu kejadian dan tidak merasakannya sebagai ancaman. Kedua, sikap spontan ini mengacu pada keterusterangan sertan keterbukaan dalam mengutarakan pikiran. Ketiga, sikap provisional yaitu sikap yang dapat berubah dan bersedia mendengar pandangan yang berlawanan serta bersedia mengubah posisi jika keadaan tersebut diperlukan.
Kata Kunci : Supportiveness, dan Single Father"
77,PENERAPAN ALGORITMA LONG-SHORT TERM MEMORY UNTUK PREDIKSI HARGA SAHAM , Rachmad Agung Pambudi," Eka Mala Sari Rochman, S.Kom., M.Kom","Sri Herawati, S.Kom., M.Kom","Investasi saham selama ini memiliki resiko kerugian yang sangat besar dikarenakan
pergerakan harga saham sangat tidak menentu, dalam meminimalkan resiko kerugian
diperlukan pengetahuan dalam membaca pergerakan harga saham. Dengan
perkembangan teknologi kecerdasan buatan dan pemrosesan perdiksisaat ini, pergerakan
harga saham dapat di identifikasi dengan cara otomatis secara perhitungan matematis
yang sangat kompleks. Perhitungan ini adalah Deep Learning yang merupakan salah
satu teknologi kecerdasan buatan yang memiliki akurasi pengenalan yang tinggi dengan
data yang banyak. Penelitihan ini menggunakan teknik Deep learning, Recurrent Neural
Networks (RNN) modul pemrosesan Long-Short Term Memory (LSTM) untuk
melakukan prediksi harga saham. Fitur yang digunakan dalam pemrosesan prediksi yaitu
Data harga penutupan saham (harga closing) PT Semen Indonesia (Persero) Tbk, dari
tanggal (09/01/2014) sampai (09/01/2020), sebanyak 1500 data. Dengan adanya gerbang
- gerbang didalam metode Neural Network algoritma LSTM ini dapat menyeleksi data
yang perlu diingat ataupun dilupakan dalam proses perhitungannya. Berdasarkan hasil
prediksi harga saham menghasilkan keakuratan yang sangat bagus dengan 100 proses
pelatihan dari 13 proses uji coba dengan berbagai nilai parameter learning rate yang
berbeda - beda dan mendapatkan rata-rata akurasi 94,92 %. Dan yang menghasilkan hasil
terbaik adalah skenario ke tiga dengan parameter epoch 50, learning rate 0.2 dan
menghasilkan MSE 0.51 dan MAPE 0.38%, akurasinya 99.62%"
78,Analisis Manajemen Resiko Pembiayaan Dana Talangan Umroh Pada PT Tabung Haji Umroh Yulianto Foundation Surabaya, Siti Wakiah," Lailattul Qodariyah, S.H.I, M.E.I.",,"ABSTRAK

ANALISIS MANAJEMEN RISIKO PEMBIAYAAN DANA TALANGAN UMROH PADA PT TABUNG HAJI UMROH YULIANTO FOUNDATION SURABAYA
PT. Tabung Haji Umroh Yulianto Foundation adalah lembaga keuangan yang memiliki produk pembiayaan dana talangan yang rentan akan terjadinya risiko. Hal ini disebabkan PT.Tabung Haji Umroh yang tidak menerapkan prosedur analisis pembiayaan 5C, tanpa dilakukan survey, tanpa slip gaji serta tanpa adanya jaminan/agunan. Karena hal ini peneliti tertarik untuk melakukan penelitian guna untuk mengetahui bagaimana manajemen risiko pembiayaan dana talangan umroh pada PT. Tabung Haji Umroh Yulianto Foundation Surabaya dalam rangka meminimalisir serta mengatasi risiko yang akan terjadi. 

Jenis penelitian yang digunakan dalam penelitian ini adalah penelitian kualitatif dengan metode deskriptif. Penelitian ini menggunakan pendekatan studi case yang akan mengungkapkan fenomena serta pengembangan pengetahuan mengenai manajemen risiko pembiayaan dana talangan umroh pada PT. Tabung Haji Umroh Yyulianto fpundation Surabaya. Yang diperoleh dengan metode wawancara serta dokumentasi yang dilakukan oleh peneliti.

Hasil dari penelitian menunjukkan bahwa pada PT. Tabung Haji Umroh Yulianto Foundation Surabaya memiliki dua jenis risiko yang krusial yaitu risiko kredit macet dan risiko refund.  Dalam mengurangi atau meminimalisir  dua jenis risiko tersebut, PT Tabung Haji Umroh Yulianto Foundation Surabaya telah melakukan manajemen risiko dengan  analisis terhadap calon jamaah serta melakukan proses manajemen risiko dengan cukup baik  atas terjadi risiko pembiayaan dana talangan umroh. Hal ini dibuktikan dengan dengan langkah yang dilakukan oleh PT. Tabung Haji Umroh Yulianto Foundation dalam menerapkan manajemen risiko yaitu mulai dari identifikasi risiko, pengukuran risiko, pemantauan risiko, serta pengendalian risiko.

 Kata kunci: Manajemen risiko dan Pembiayaan.
"
79,PERTUKARAN SOSIAL DALAM TRADISI TIMANG MANTEN PADA MASYARAKAT DESA PATENG-TENG KECAMATAN MODUNG KABUPATEN BANGKALAN, Nurul Habibah," Dr.Mutmainnah,S.sos.,M.Si",,"ABSTRAK
Nurul Habibah.160521100046. Program Studi Sosiologi Fakultas Ilmu Sosial dan Budaya, Universitas Trunojoyo Madura. Pertukaran Sosial dalam Tradisi Timang Manten pada Masyarakat Desa Patengteng Kecamatan Modung Kabupaten Bangkalan.
 Penelitian ini tentang Pertukaran Sosial dalam Tradisi Timang Manten pada Masyarakat Desa Patengteng Kecamatan Modung Kabupaten Bangkalan merupakan cara untuk mempersatukan dan memperat hubungan keluarga diacara pernikahan timang manten bukan hanya itu tradisi timang manten ini juga digunakan masyarakat untuk kepentingan ekonomi. Dan adanya tradisi timang manten tersebut timbulnya solidaritas sosial masyarakat Madura yang saling membantu satu sama lain. Pada dasarnya pertukaran sosial dalam tradisi timang manten ini sangatlah penting khususnya bagi masyarakat, selain itu juga bisa membantu desa agar bisa melestarikan budaya lokal dan mengenalkan budaya Madura kepada masyarakat luas.
 Metode penelitian yang digunakan adalah metode peelitian kualitatif,deskriptif dengan sebuah pendekatan yaitu studi kasus. Informan yang dipilih dalam penelitian ini menggunakan teknik purposive sampling. Sumber data penelitian didapatka dari data primer dan data sekunder. Pengumpulan data dilakukan dengan cara  observasi,wawancara dan dokumentasi. Analisis data menggunakan teknik Miles dan Huberman (1984). Serta untuk teknik pemeriksaan keabsahan data menggunakan triangulasi sumber.
 Hasil penelitian menunjukkan bahwa sampai saat ini tradisi timang manten ini tetap dijaga dan dilakukan. Masyarakat menggunakan tradisi timang manten ini sebagai pertukaran sosial dengan adanya saweran ke pengantin nantinya saweran tersebut akan dikembalikan diwaktu yang berbeda pada saat penyawer melakukan hajat pernikahan.

Kata Kunci: Pertukaran sosial,Tradisi timang manten."
80,"PENGARUH KUALITAS KEHIDUPAN KERJA TERHADAP KEPUASAN KERJA PADA PETANI GARAM DI KECAMATAN KALIANGET, SUMENEP", Vikki Hidayat," Yan Ariyani, S.Psi., M.Psi., Psikolog ",,"ABSTRAK 

Vikki Hidayat. 140541100052. Pengaruh Kualitas Kehidupan Kerja terhadap
Kepuasan Kerja pada Petani Garam di Kecamatan Kalianget, Sumenep.
Skripsi. Program Studi Psikologi, Fakultas Ilmu Sosial Dan Ilmu Budaya,
Universitas Trunojoyo Madura. 2020. xvii. 75 Halaman. 20 Lampiran.  
 
Penelitian ini bertujuan untuk mengetahui pengaruh kualitas kehidupan kerja
terhadap kepuasan kerja pada petani garam di Kecamatan Kalianget, Sumenep.
Penelitian ini menggunakan pendekatan kuantitatif dengan teknik non probability
sampling. Hipotesis yang diajukan dalam penelitian ini adalah adanya pengaruh
kualitas kehidupan kerja terhadap kepuasan kerja. Jumlah sampel dalam penelitian
ini sebayak 268 orang petani garam yang berada di Kecamatan Kalianget,
Sumnep. Jenis skala ini adalah skala Likert yang terdiri dari 40 item tiap
variabelnya yang mengukur dimensi dari kepuasan kerja dan aspek dari kualitas
kehidupan kerja. Analisis data dalam penelitian ini menggunakan uji regresi
sederhana yang dilakukan dengan bantuan program SPSS (Statistical Product and
Service Solution) 23.0 for windows. Berdasarkan hasil analisis data diperoleh nilai
F sebesar 29,060 dengan tingkat signifikansi 0,00 < 0,05 maka dapat disimpulkan
variabel  kualitas kehidupan kerja (X) memiliki pengaruh yang signifikan
terhadap variabel kepuasan kerja (Y) yang artinya hipotesis penelitian diterima.
Interpretasi skor petani garam memiliki tingkat  kualitas kehidupan kerja kategori
tinggi sebesar 18,7%, sedangkan pada kategori sedang sebesar 65,3%, dan pada
kategori rendah sebesar 16%. Sedangkan untuk interpretasi skor kepuasan kerja
kategori tinggi 15,7%, sedangkan pada kategori sedang sebesar 68,6%, dan pada
kategori rendah sebesar 15,7%.
 
Kata kunci  : Kepuasan Kerja, Kualitas Kehidupan Kerja, Petani Garam
"
81,Literasi Halal dan Sertifikasi Halal Pada pelaku IKM Kripik Singkong di Kec. Manding Kab. Sumenep., Moh. Baihaqi," Lailatul Qodariyah,S.H.I, M.E.I",,"ABSTRAK 
LITERASI HALAL DAN SERTIKASI HALAL PADA PELAKU IKM KRIPIK SINGKONG KEC. MANDING

Halal Lifestyle di Indonesia pada saat ini menjadi tren tersendiri. Secara implisit, halal lifestyle memiliki makna berperilaku sesuai dengan syariah yang bertujuan untuk menjaga dan melindungi umat Islam dalam mengonsumsi barang-barang yang tidak halal, Karena sesuatu yang dilarang oleh agama itu tidak baik bagi dirinya sendiri ataupun orang lain. Adapun tujuan penelitian ini adalah untuk mengetahui Tingkat Literasi Pelaku IKM Tentang Halal dan Sertifikasi Halal Pada Produk Kripik Singkong di Kec. Manding Kab. Sumenep dan untuk mengetahui  Dampak Literasi Halal Pelaku IKM Terhadap Keinginan Pelaku IKM Kripik Singkong di Kec. Manding Kab. Sumenep Untuk Mengajukan Sertifikasi Halal.

Jenis penelitian ini merupakan penelitian kualitatif, penelitian kualitatif adalah suatu penelitian yang berdasarkan kondisi di lapangan  tanpa adanya suatu rekayasa penelitian yang berupa data deskriptif. Metode ini biasanya disebut dengan penelitian naturalistik disebabkan karena berdasarkan fakta di lapangan ( Natural Setting).

Penelitian ini memperoleh hasil dari 7 IKM tersebut ada 4 pengelompokan IKM berdasarkan Literasi Halal dan Sertifikasi Halal yaitu: Well literate,  Sufficient Literate,  Less Literate, dan Not Literate. ada 2 IKM yang masuk dalam kategori Well literate, 2 IKM yang lain masuk dalam kategori Sufficient Literate dan 3 IKM masuk dalam kategori Less Literate. Dampak Literasi Halal Pada Pelaku IKM Kripik Singkong di Kec. Manding yaitu memberikan motivasi terhadap produsen untuk mengajukan sertifikat halal, tetapi ada beberapa IKM yang masih kurang peduli tentang pentingnya sertifikat halal, padahal mereka mengetahui tentang manfaat sertifikat halal.
 Kata kunci : Literasi Halal dan Sertifikat Halal 
"
82,Bias Gender Jurnalis Perempuan Di Media Massa Kota Bangkalan, Riski Hakiki," Dr. Yuliana Rakhmawati, S.Sos., M.Si",,"Penelitian ini berjudul Bias Gender Jurnalis Perempuan di Media Massa Kota Bangkalan, yang meneliti tentang motivasi memilih profesi jurnalis, diskriminasi, dan hubungan ditempat kerja, Penelitian ini bertujuan untuk mengetahui bagaimana bias gender jurnalis perempuan di media massa, baik didalam ruang kerja ataupun saat peliputan di lapangan.
Jenis penelitian ini adalah penelitian kualitatif, dengan pendekatan komunikasi, yang menggunakan analisis data. Metode pengumpulan data menggunakan wawancara dan dokumentasi. Menghasilkan penelitian yakni menguraikan motivasi memilih profesi jurnalis, diskriminasi, dan hubungan ditempat kerja.
Hasil penelitian dari temuan Bias Gender Jurnalis Perempuan di Media Massa Kota Bangkalan terdapat temuan tentang bias gender dalam beberapa hal seperti, kesempatan perempuan menjadi jurnalis sangatlah tinggi, setara dengan laki â laki, semua rubric  yang ditangani oleh jurnalis perempuan setara dengan jurnalis laki â laki, gaji jurnalis perempuan setara dengan gaji jurnalis laki â laki, tidak ada pembagian kerja berdasarkan gender, tidak ada diskriminasi jabatan, semua jurnalis mendapatkan reward dari perusahaan.

Kata kunci : Bias Gender, Jurnalis Perempuan, Media Massa.

"
83,Tinjauan Sosiologi Hukum Islam Terhadap Praktik Jual Beli Bahan Pokok Makanan dengan Cara Tempo (Studi Kasus di Desa Racitengah Kecamatan Sidayu Kabupaten Gresik) , Dwi Nisa'ul farihah," Hamam, Lc., M.sy",,"Skripsi yang berjudul tinjauan sosiologi hukum Islam terhadap praktik jual beli bahan pokok makanan dengan cara tempo dengan studi kasus di Desa Racitengah Kecamatan Sidayu Kabupaten Gresik ini merupakan penelitian lapangan untuk menjawab pertanyaan bagaimana praktik jual beli bahan pokok makanan di Desa Racitengah Kecamatan Sidayu Kabupaten Gresik.
Penelitian ini menggunakan penelitian kualitatif untuk jenis penelitian lapangan yang mana bersifat deskriptif analisis dengan menggambarkan kejadian yang terjadi dilapangan kemudian menganalisisnya berdasarkan yuridis. Pendekatan yang digunakan adalah yuridis sosiologis karena penulis menganalisis berdasarkan pada suatu ketentuan hukum dan fenomena atau kejadian yang terjadi dilapangan khususnya yang berkaitan dengan prantik jual beli. Teknik analisis menggunakan metode deduktif bersamaan dengan pengumpulan data melalui observasi, wawancara dan dokumentasi. 
Hasil penelitian ini menyimpulkan bahwa praktik jual beli bahan pokok makanan dengan cara tempo di Desa Racitengah Kecamatan Sidayu Kabupaten Gresik telah dainggap haram dimata hukum Islam meskipun jika dilihat pada rukun dan syarat jual beli semua terpenuhi. Namun karena didalam praktik jual beli tersebut mengandung unsur riba atau tambahan maka jual beli tersebut menjadi haram untuk dilakukan. 
Kata Kunci: Jual beli, Riba, Sosiologi Hukum Islam. 


"
84,MOTIVASI BERPRESTASI PETAMBAK GARAM TERSUKSES DI KECAMATAN PENGARENGAN, Yuni Anggraini ," Triyo Utomo, S.Psi.",,"Abstrak. Penelitian ini bertujuan untuk mengetahui motivasi berprestasi petambak garam. Penelitian ini menggunakan metode penelitian deskriptif kualitatif dengan pendekatan fenomenologi. Subjek dalam penelitian ini dua wirausaha petambak garam yang memiliki motivasi berprestasi yang sangat tinggi. Hal tersebut dapat dilihat dari usaha dan kerja keras kedua subjek dalam mencapai target sehingga menjadi petambak garam yang sukses. Adapun dalam pengambilan sampel dalam penelitian ini adalah menggunakan Teknik Purposive Sampling. Metode pengumpulan data adalah wawancara semi struktur (indepth interview). Teknik analisis data menggunakan Interpretative Phenomenologycal Analysis (IPA) yaitu dengan tahap membaca berkali-kali, membuat catatan awal (initial coding), membuat tema emergen, membuat tema superordinate, membuat pola-pola antar kasus/antar pengalaman partisipan, penataan seluruh tema superordinate. Hasil penelitian ini menunjukkan ada dua partisipan yang memiliki motivasi berprestasi yang sangat tinggi di dalam usaha tambak garam. Motivasi berprestasi yang di alami oleh kedua partisipan dalam ranah enam aspek motivasi berprestasi yaitu; tanggung jawab, memperhatikan resiko dalam pemilihan tugas, memperhatikan umpan balik, kreatif dan inovatif, memperhatikan waktu penyelesaian tugas, serta keinginan menjadi yang terbaik. Motivasi berprestasi yang dialami kedua partisipan adalah keberhasilan atas kerja keras yang mereka lakukan untuk mencapai cita â cita yang mereka inginkan dengan dukungan dari keluarga. Motivasi berprestasi yang dilakukan kedua partisipan dipengaruhi oleh keluarga, lingkungan. Adanya keinginan dan dorongan menjadi faktor utama dalam keberhasilan sebuah usaha. Penelitian ini menunjukkan bahwa motivasi berprestasi seorang petambak garam dapat dilihat dari usaha dan kerja keras serta keinginan yang ada dalam diri kedua partisipan. Prestasi kedua partisipan yang mereka raih membuat keduanya menemukan makna hidup dalam dirinya. Adanya tujuan, masa depan, perubahan menjadi lebih baik, menemukan potensi diri, merasa bersyukur dan berkah. 

Kata Kunci : Motivasi Berprestasi, Prestasi yang diraih, Makna hidup.
"
85,PENDAMPINGAN ORANG TUA DALAM PROSES BELAJAR ANAK MENURUT PERSEPSI ANAK DI DUSUN KLATAK KIDUL DESA DOPLANG KECAMATAN JATI KABUPATEN BLORA, Lyta Pranawati," Priyono Tri Febrianto, S.Sos., M.Si","Andika Adinanda Siswoyo, S.Pd., M.Pd","Abstrak

Tujuan dari penelitian ini yaitu untuk mengetahui gambaran tentang pendampingan orang tua dalam proses belajar anak menurut  persepsi anak di Dusun Klatak Kidul Desa Doplang Kecamatan Jati Kabupaten Blora. Pendampingan orang tua dikategorikan menjadi beberapa aspek yaitu, menyediakan fasilitas belajar anak, mengawasi waktu penggunaan belajar, mengawasi kegiatan belajar anak di rumah, mengawasi kesulitan yang dihadapi anak dalam belajar, menolong kesulitan yang dihadapi anak dalam belajar. Penelitian ini menggunakan penelitian deskriptif kualitatif. Hasil penelitian menunjukkan bahwa 3 anak merasa fasilitas belajar yang disediakan orang tua mereka sudah cukup, dan 1 anak merasa kurang cukup. orang tua anak sudah mengawasi penggunaan waktu belajar anak meskipun hanya pada malam hari. Orang tua anak sudah mengawasi kegiatan belajar anak meskipun pada malam hari. orang tua anak sudah mengawasi dan menolong kesulitan anak dalam belajar.
Kata Kunci: Persepsi, pendampingan orang tua dalam proses belajar
"
86,PENGARUH REGULASI DIRI TERHADAP PROKRASTINASI AKADEMIK MAHASISWA BIDIKMISI YANG MELAMPAUI BATAS MASA STUDI NORMAL (4 TAHUN) DI UTM, Ririn Eka Octaviani," Triyo Utomo, S.Psi., M.Psi., Psikolog",-,"ABSTRAK
Ririn Eka Octaviani. 150541100057. Pengaruh Regulasi Diri terhadap Prokrastinasi Akademik Mahasiswa Bidikmisi yang Melampaui Batas Masa Studi Normal (4 Tahun) di UTM. Program Studi Psikologi, Fakultas Ilmu Sosial dan Ilmu Budaya. Universitas Trunojoyo Madura. 2020.  xviii+ 84 halaman, 18 lampiran


Penelitian ini bertujuan untuk mengetahui pengaruh regulasi diri terhadap prokrastinasi akademik mahasiswa bidikmisi yang melampaui batas masa studi normal (4 tahun) di Universitas Trunojoyo Madura. Penelitian ini menggunakan pendekatan kuantitatif dengan teknik purposive sampling. Responden dalam penelitian ini adalah mahasiswa bidikmisi yang melampaui masa studi normal dengan jumlah 100 responden. Instrumen dalam penelitian ini adalah skala regulasi diri dan skala prokrastinasi akademik. Analisis yang dilakukan dalam penelitian ini adalah regresi linier sederhana dengan bantuan program SPSS 23 for windows. Hasil penelitian ini menunjukkan nilai F hitung sebesar 20,310 dengan signifikansi sebesar 0,000 (0,000 < 0,05). Artinya H0 ditolak dan H1 diterima yaitu terdapat pengaruh regulasi diri terhadap prokrastinasi akademik pada mahasiswa bidikmisi yang melampaui batas masa studi normal di Universitas Trunojoyo Madura. Berdasarkan nilai koefisien determinasi (R Square) yaitu sebesar 0,172, dimana artinya regulasi diri mempengaruhi prokrastinasi akademik sebesar 17,2%  dan 82,8% lainnya dipengaruhi oleh faktor lain. Nilai koefisien korelasi (r) sebesar 0,414 dapat diidentifikasikan bahwa terdapat korelasi dengan kategori sedang antara regulasi diri dan prokrastinasi akademik.


Kata Kunci: regulasi diri, prokrastinasi akademik, mahasiswa bidikmisi yang melampaui batas masa studi norma
"
87,Perbedaan Strategi Coping Ditinjau Dari Tipe Kepribadian Ekstrovert Dan Introvert Pada Anak Didik Pemasyarakatan Di LPKA Kelas I Blitar, Rendra Fresty Pratiwi," Alifah Rahma Wati, S.Psi., M.Psi., Psikolog",,"ABSTRAK

Rendra Fresty Pratiwi. 150541100065. Program Studi Psikologi. Perbedaan Strategi Coping Ditinjau dari Tipe Kepribadian Ekstrovert dan Introvert Pada Anak Didik Pemasyarakatan Di LPKA Kelas I Blitar. xv + 92 halaman + 54 lampiran. 

 Penelitian ini bertujuan untuk mengetahui perbedaan penggunaan jenis strategi coping ditinjau dari tipe kepribadian ekstrovert dan introvert anak didik pemasyarakatan di LPKA Kelas I Blitar. Subyek dalam penelitian ini adalah anak didik pemasyarakatan yang sebelumnya telah diuji untuk mengetahui anak-anak yang mengalami stres dan dibedakan menurut tipe kepribadiannya. Total 115 anak yang bersedia mengisi kuesioner 70 anak diantaranya mengalami stres. Kemudian 38 anak memiliki tipe kepribadian ekstrovert dan 32 anak memiliki tipe kepribadian introvert. Penelitian ini dilakukan dengan menggunakan teknik total sampling. Pengumpulan data menggunakan kuesioner skala strategi coping dan skala tipe kepribadian dari Eysenck. Metode analisis data dilakukan dengan menggunakan uji beda Independent Sample T-Test dengan bantuan SPSS Statistics 23.0 For Windows. Hasil penelitian ini menunjukkan bahwa nilai t-test diperoleh taraf signifikansi problem focused coping sebesar 0,338 (p>0,005) dan taraf signifikansi emotion focused coping sebesar 0,815 (p>0,05) yang berarti hipotesis penelitian ini ditolak, artinya tidak terdapat perbedaan strategi coping baik itu jenis problem focused coping maupun emotion focused coping ditinjau dari tipe kepribadian ekstrovert dan introvert pada anak didik pemasyarakatan di LPKA Kelas I Blitar.

Kata Kunci  : Strategi Coping, Tipe Kepribadian Ekstrovert dan Introvert, Anak Didik Pemasyarakatan
"
88,"ESTIMASI STOK KARBON PADA EKOSISTEM HUTAN MANGROVE DI DESA LEMBUNG PASESER, KECAMATAN SEPULUH, KABUPATEN BANGKALAN", Ahmad Ibrahim," Dr. Firman Farid Muhsoni, S.Pi. M.Sc",,"Meningkatnya kandungan karbon dioksida (CO2) di udara akan menyebabkan kenaikan suhu bumi karena efek rumah kaca/pemanasan global. Penelitian ini bertujuan untuk mengetahui kerapatan vegetasi jenis tegakan mangrove, total biomassa atas permukaan dan bawah permukaan, mengetahui stok karbon atas permukaan, bawah permukaan dan stok karbon tanah dan mengetahui serapan CO2 atas permukaan, bawah permukaan dan stok karbon tanah pada kawasan hutan mangrove di Desa Lembung Paseser. Pengambilan data stok karbon mengunakan metode non-destruktif sampling yaitu tanpa merusak dengan menggunakan model persamaan allometrik. Penelitian ini dilakukan pada 3 stasiun dan setiap stasiun tardapat 6 plot. Hasil penelitian menunjukkan pada kawasan penelitian ditemukan 9 jenis mangrove yaitu Rhizophora mucronata, Rhizophora stylosa, Rhizophora apiculata, Sonneratia alba, Avicennia marina, Avicennia alba, Ceriop tagal, Ceriop decandra, Aegiceras c. Total kerapatan jenis mangrove pohon sebesar 2.900 ind/ha, pada anakan 206.400 ind/ha dan tingkat semai 3.480.000 ind/ha. Nilai rata-rata kandungan biomassa di atas permukaan sebesar 87,21 ton/ha, bawah permukaan (akar) 36,07 ton/ha. Total rata-rata stok karbon sebesar 231,69 ton/ha, terdiri dari: stok karbon di atas permukaan 40,75 ton/ha, bawah permukaan 16,95 ton/ha dan tanah 173,98 ton/ha. Total rata-rata serapan CO2 mangrove sebesar 849,51 ton/ha, yaitu di atas permukaan 149,44 ton/ha, bawah permukaan 62,15 ton/ha, dan tanah 637,93 ton/ha.
Kata kunci: Mangrove, Biomassa, Stok Karbon, Serapan CO2. 
"
89,Model Penyerapan Tenaga Kerja Sentra Industri Songkok Ditinjau Dalam Perspektif Pasar Tenaga Kerja Islam, Abdul Malik Setiyono," Dr. Abdur Rohman, S.Ag,. M.E.I",,"Sentra Industri Songkok merupakan sekumpulan unit usaha kecil yang menghasilkan produk sejenis, dengan mampu menyerap tenaga kerja local sebesar 733 jiwa penduduk. Hal ini dapat bias mengatasi suatu problematika yang ada di Desa Pengangsalan dari sebelumnya masih banyak nilai angka kemiskinan dan pengangguran disebabkan kurangnya lapangan pekerjaan serta tidak mempunyai pendapatan tetap, dan juga memudahkan dalam suatu proses rekrutmen tenaga kerja, pada akhirnya telah memberikan suatu keuntungan bagi masyarakat Desa pengangsalan. Atas dasar inilah peneliti ingin mengetahui Model Penyerapan Tenaga Kerja Sentra Industri Songkok Ditinjau Dalam Perspektif Pasar Tenaga Kerja Islam. Penelitian ini bertujuan untuk menjawab pertanyaan: 1).Bagaimana kondisi tenaga kerja yang ada pada Sentra Industri Songkok?, 2). Bagaimana Model Penyerapan Tenaga Kerja Sentra Industri Songkok Ditinjau Dalam Perspektif Pasar Tenaga Kerja Islam?.
Penelitian ini merupakan jenis penelitian kualitatif dengan pendekatan deskriptif. Objek penelitian ini adalah Sentra Industri Songkok di Ds. Pengangsalan Kec. Kalitenggah Kab. Lamongan. Teknik pengumpulan data yang digunakan adalah metode wawancara, dan dokumentasi kemudian di analisis berdasarkan teori pasar tenaga kerja dalam tinjauan ekonomi Islam.
Hasil dari penelitian yang diperoleh dari kesimpulan bahwa: 1). Kondisi tenaga kerja yang ada pada industry songkok memakai system borongan dapat diketahui melalui pelaksanaan kerja, waktu yang dikerjakan, dan upah berdasarkan banyaknya jumlah yang dihasilkan, secara tidak langsung masuk dalam akad Juâalah. 2). Model penyerapan tenaga kerja yang ada di sentra Industri songkok sebagai berikut: Pertama, perekrutan secara alamiah. Kedua, terdapat suatu program pelatihan (training). Ketiga, Sistem kerja borongan. Untuk model penyerapan tenaga kerja sentra industry songkok sudah sesuai dengan indikator pasar tenaga kerja dalam perspektif Islam yang dilihat dari konsep tenaga kerja bahwa bekerja merupakan suatu ibadah, dari cara yang halal, mendapatkan hak-hak tenaga kerja, dan melakukan kewajiban bekerja, dari sisi perusahaan telah membina kerjasama terhadap pekerja serta menempatkan pekerja secara kafaa (keahlian). Perusahaan juga menerapkan suatu kontrak kerja yang sudah sesuai dengan akad dalam ekonomi Islam. Dan terdapat kesegeraan membayar upah serta upah tersebut masuk pada golongan ajrul musammah (telah disebutkan).
"
